issue,red1,red2,red3,red4,red5,blue1,blue2,pool_money,first_prize_count,first_prize_money,second_prize_count,second_prize_money,sales_money,date
12056,11,21,23,26,34,7,9,386376159,2,7996485,24,151337,86198008,2012-05-16
12057,1,2,14,33,34,3,5,395939072,1,10000000,22,203780,93786172,2012-05-19
12058,13,21,29,31,35,4,12,386647639,2,6397617,59,44634,94702479,2012-05-21
12059,9,13,19,21,27,3,4,379705028,4,7176230,24,201502,95348657,2012-05-23
12060,2,16,21,24,30,6,10,384536427,1,10000000,22,216993,101189600,2012-05-26
12061,5,10,14,27,33,7,9,384347790,2,8270453,69,54644,90048368,2012-05-28
12062,21,32,33,34,35,8,9,228347790,30,5000000,507,12000,92554549,2012-05-30
12063,11,25,26,29,35,1,2,227036376,2,7896195,43,76924,98939363,2012-06-02
12064,9,12,13,15,30,9,10,229995094,1,9566131,23,183103,90348096,2012-06-04
12065,10,22,28,29,34,5,11,227963752,2,7656219,41,82748,90420169,2012-06-06
12066,1,20,25,29,33,4,6,247731515,0,0,20,217826,98611893,2012-06-09
12067,20,22,27,30,33,1,2,256596305,1,10000000,19,216836,88206089,2012-06-11
12068,1,21,31,32,35,3,6,263814038,0,0,70,23820,89260141,2012-06-13
12069,2,4,22,25,34,2,11,276745169,1,10000000,14,387023,101566246,2012-06-16
12070,9,22,23,32,34,6,8,292784939,0,0,28,137976,90123786,2012-06-18
12071,13,23,29,31,34,6,8,286925096,2,7112532,33,119225,91655172,2012-06-20
12072,4,8,17,22,25,4,10,306680564,0,0,23,198049,96524190,2012-06-23
12073,18,23,29,33,34,2,7,311595963,1,10000000,25,155368,88041836,2012-06-25
12074,10,22,23,30,32,1,7,70930242,50,5124457,47,77398,89310405,2012-06-27
12075,7,9,10,18,22,5,10,90026538,0,0,24,180579,91308852,2012-06-30
12076,2,14,16,22,24,2,5,110771249,0,0,14,378898,80072550,2012-07-02
12077,10,30,32,33,34,2,3,82771249,5,5000000,135,12000,80443734,2012-07-04
12078,1,2,23,25,35,5,12,80255739,4,5000000,38,107431,90043223,2012-07-07
12079,1,5,25,32,33,1,10,92633784,1,5000000,11,421285,79358981,2012-07-09
12080,11,12,14,25,28,2,5,110424961,0,0,19,209925,80420397,2012-07-11
12081,10,16,17,30,35,1,8,113317516,1,9538563,36,107580,88440294,2012-07-14
12082,2,4,9,10,15,8,10,114033805,2,8572096,22,173824,80587602,2012-07-16
12083,16,19,28,29,31,5,8,119081870,1,10000000,26,141296,80519889,2012-07-18
12084,21,24,27,29,31,1,2,122538709,1,9773682,31,149762,87316969,2012-07-21
12085,7,18,29,31,33,10,12,82168393,7,5470189,33,84670,79262178,2012-07-23
12086,3,20,25,29,32,5,10,95922991,0,0,17,201532,78946927,2012-07-25
12087,1,6,7,21,31,4,11,110130296,1,5000000,16,261323,87077255,2012-07-28
12088,13,17,24,30,35,2,10,108698300,2,7856000,14,224000,77824388,2012-07-30
12089,6,12,21,29,32,6,11,125297322,0,0,23,159223,78492327,2012-08-01
12090,2,21,27,29,33,2,10,130347386,1,10000000,37,100333,86568483,2012-08-04
12091,3,10,28,31,33,1,9,129358969,1,7921491,28,104572,78967695,2012-08-06
12092,8,9,23,25,31,2,12,124289219,2,7033397,23,138762,77673891,2012-08-08
12093,2,16,21,31,33,4,11,133431285,1,10000000,22,204182,88134396,2012-08-11
12094,2,14,23,32,35,1,10,127108672,2,6712149,26,98269,78940678,2012-08-13
12095,6,9,22,27,30,8,12,122925022,2,7260601,29,132377,81331179,2012-08-15
12096,5,10,19,24,35,8,9,138933742,0,0,44,78763,88805215,2012-08-18
12097,9,17,24,29,32,1,2,142144368,1,10000000,26,112192,80344147,2012-08-20
12098,2,11,28,29,30,6,12,140602551,1,7690908,47,54156,82055498,2012-08-22
12099,12,18,24,25,32,2,12,160992010,0,0,17,289212,90063317,2012-08-25
12100,7,9,13,19,27,1,3,97280598,11,5299455,40,62386,81304308,2012-08-27
12101,2,5,8,9,31,3,7,109329359,1,5000000,16,231955,80597889,2012-08-29
12102,2,4,6,13,35,4,8,118360865,1,10000000,22,207994,87514716,2012-09-01
12103,2,9,18,23,24,1,4,121552988,1,9663383,21,224066,79540358,2012-09-03
12104,16,18,24,25,27,4,9,140640872,0,0,20,205246,81198871,2012-09-05
12105,5,6,14,15,31,6,8,138411865,2,7761792,26,152455,89754073,2012-09-08
12106,15,23,25,29,31,9,10,137174318,2,7920817,15,231810,80675002,2012-09-10
12107,4,7,9,22,33,1,3,153914360,0,0,28,138633,81786911,2012-09-12
12108,6,7,12,24,35,2,6,157260079,1,10000000,48,68970,90264220,2012-09-15
12109,1,22,30,32,35,9,11,144611573,4,6225248,42,70721,81799464,2012-09-17
12110,1,11,17,19,26,5,12,125852385,5,5832108,33,72231,81741224,2012-09-19
12111,1,24,25,30,33,4,11,143493586,0,0,17,235216,88314707,2012-09-22
12112,1,2,28,31,35,5,7,140279011,2,7509082,26,138505,81099610,2012-09-24
12113,3,10,22,27,29,3,12,133756829,2,6159271,84,16202,80773978,2012-09-26
12114,3,6,21,33,35,1,7,154150771,0,0,18,274665,89017250,2012-09-29
12115,1,6,13,19,23,6,9,169023532,0,0,9,440674,69446925,2012-10-01
12116,1,11,18,20,22,7,10,184689749,0,0,24,133899,72022417,2012-10-03
12117,1,12,18,21,33,7,8,181213469,2,7174572,134,17809,86058922,2012-10-06
12118,5,17,25,30,33,1,12,198330008,0,0,30,131161,82368464,2012-10-08
12119,5,6,9,19,32,6,9,203401661,1,10000000,25,134869,84197556,2012-10-10
12120,2,10,21,23,29,3,4,205781709,1,9920032,52,57143,93463759,2012-10-13
12121,7,18,20,29,30,5,6,180675093,6,5797310,59,50260,85404825,2012-10-15
12122,23,24,25,29,31,3,12,185975688,1,10000000,55,70347,84662712,2012-10-17
12123,5,8,18,30,33,1,9,183245311,2,7423207,44,60961,92384268,2012-10-20
12124,7,11,19,20,35,5,10,185343410,1,9732065,55,47510,84938472,2012-10-22
12125,6,14,17,22,35,1,2,202092498,0,0,28,146921,86722271,2012-10-24
12126,13,14,21,28,29,5,10,222582953,0,0,21,239654,95611728,2012-10-27
12127,12,13,14,25,35,10,12,232101513,1,10000000,31,138429,87738452,2012-10-29
12128,9,10,19,30,31,4,11,158101513,13,5000000,136,12000,86991830,2012-10-31
12129,1,7,21,28,31,3,9,162359872,1,10000000,30,113161,94242307,2012-11-03
12130,14,19,23,29,30,6,7,162055982,1,8206711,21,135733,87503658,2012-11-05
12131,2,16,18,27,30,8,12,165300948,1,10000000,29,106385,90069224,2012-11-07
12132,5,8,21,25,33,1,11,158224875,3,6760872,126,25631,99422591,2012-11-10
12133,5,7,13,29,30,1,5,177867882,0,0,24,185749,91763431,2012-11-12
12134,1,6,18,32,35,2,7,174119756,2,7083957,70,34907,90893857,2012-11-14
12135,3,5,17,18,33,6,7,195352677,0,0,34,143708,99774197,2012-11-17
12136,2,23,29,30,31,1,4,187811157,2,6399609,106,18747,93630031,2012-11-19
12137,3,12,20,21,27,1,6,176275822,3,6731203,27,164876,92645458,2012-11-21
12138,13,17,27,31,33,6,12,168189135,4,6985552,43,95230,99444792,2012-11-24
12139,9,10,12,22,25,4,11,159798479,3,6779507,46,82131,89470036,2012-11-26
12140,7,17,27,28,29,9,10,102910036,10,5274814,169,12000,89995813,2012-11-28
12141,3,11,19,23,34,2,12,109227850,1,10000000,53,77703,97483582,2012-12-01
12142,15,19,29,34,35,7,10,109794215,1,8569317,58,50494,90411341,2012-12-03
12143,9,27,29,30,31,3,6,102870962,2,6025581,101,12297,90699066,2012-12-05
12144,11,13,14,21,29,1,10,3369368,15,5345297,35,132393,100893900,2012-12-08
12145,5,22,31,33,35,6,9,22893881,1,5000000,51,37323,83242808,2012-12-10
12146,1,10,13,17,26,6,8,22302458,3,5000000,30,143280,88326469,2012-12-12
12147,2,3,17,19,33,2,9,28529333,2,5000000,14,351175,95259080,2012-12-15
12148,4,16,27,29,34,6,11,32076134,2,5000000,44,81411,86921952,2012-12-17
12149,2,10,23,33,34,5,10,30708485,2,5000000,39,83375,86183124,2012-12-19
12150,2,14,18,24,31,2,3,51830291,0,0,12,426703,93073171,2012-12-22
12151,3,19,20,24,33,3,4,69714376,0,0,24,158969,84629482,2012-12-24
12152,4,17,26,33,34,2,8,42430665,6,5000000,30,135756,86036210,2012-12-26
12153,8,9,10,13,22,5,10,54890188,1,5000000,28,153153,92912437,2012-12-29
12154,3,26,27,31,32,3,9,69462813,0,0,20,178258,85173381,2012-12-31
13001,6,9,11,31,32,5,11,87583599,0,0,18,206504,82539302,2013-01-02
13002,4,20,27,31,32,6,12,108094375,0,0,14,346173,97887870,2013-01-05
13003,1,16,18,21,31,9,12,120141232,1,10000000,29,173939,92114091,2013-01-07
13004,7,8,12,20,25,3,7,101548129,4,5949602,53,55795,93113469,2013-01-09
13005,18,22,26,28,31,10,12,123594996,0,0,25,205565,102731749,2013-01-12
13006,8,20,25,31,32,5,7,126585204,1,9579253,42,104370,91873354,2013-01-14
13007,14,29,32,33,34,3,6,116585204,2,5000000,87,12000,93622278,2013-01-16
13008,2,7,25,29,34,3,6,124053473,1,10000000,13,422851,103090366,2013-01-19
13009,10,17,19,27,29,5,12,100586068,5,5809955,75,39572,92051355,2013-01-21
13010,9,15,17,18,29,9,11,117031592,0,0,34,103430,93053917,2013-01-23
13011,1,2,8,15,23,6,9,116673757,3,8253813,20,268910,103189764,2013-01-26
13012,1,14,31,32,34,2,11,135535963,0,0,11,457265,90273475,2013-01-28
13013,13,15,29,30,35,1,11,146150128,0,0,61,43411,91878143,2013-01-30
13014,5,8,25,29,31,2,4,154624839,1,10000000,41,108995,102516364,2013-02-02
13015,14,15,26,32,33,1,11,152902085,2,7891600,22,187018,90554838,2013-02-04
13016,5,15,19,27,32,8,9,170130710,0,0,23,185254,93354624,2013-02-06
13017,11,14,22,29,34,5,11,0,39,4762252,123,31945,92868182,2013-02-16
13018,20,23,31,33,34,3,9,11738506,1,5000000,48,31860,72887266,2013-02-18
13019,6,12,17,29,30,7,11,18419704,1,5000000,57,45540,78774727,2013-02-20
13020,6,11,20,31,32,5,9,30797768,0,0,33,83353,90505561,2013-02-23
13021,23,24,28,30,33,1,11,43329822,1,5000000,28,142537,84584535,2013-02-25
13022,3,4,13,17,23,3,8,53204819,1,5000000,14,290650,86402223,2013-02-27
13023,5,19,24,26,35,5,7,68857932,0,0,36,100825,93617454,2013-03-02
13024,9,12,14,18,24,1,4,84966486,1,5000000,20,258208,88302567,2013-03-04
13025,3,23,25,26,28,10,12,95037003,1,5000000,13,339352,89233230,2013-03-06
13026,2,10,16,30,33,5,6,86999987,3,5000000,64,49382,96984428,2013-03-09
13027,3,12,14,24,35,3,8,99217311,1,5000000,29,133467,88478779,2013-03-11
13028,13,19,28,30,34,8,12,117290371,0,0,30,143436,90226179,2013-03-13
13029,5,7,17,25,26,4,10,124168043,1,10000000,50,74024,100525965,2013-03-16
13030,3,5,9,10,28,5,7,142906622,0,0,24,169964,92399963,2013-03-18
13031,12,17,18,26,32,10,11,152903939,1,10000000,23,200474,92857755,2013-03-20
13032,12,27,28,33,35,1,8,159896906,1,10000000,35,108929,101795038,2013-03-23
13033,12,18,22,28,31,1,11,183084465,0,0,16,359497,94424531,2013-03-25
13034,1,3,11,19,29,4,8,175024647,3,6840774,23,182556,98117695,2013-03-27
13035,5,14,28,32,34,7,8,157137514,6,6345873,34,143178,105886815,2013-03-30
13036,8,12,32,33,35,3,5,158595131,1,9305077,40,66745,94764559,2013-04-01
13037,2,26,31,32,34,6,8,159171880,1,8717832,40,56847,93728141,2013-04-03
13038,1,19,24,25,26,7,9,180313811,0,0,28,160166,103728759,2013-04-06
13039,6,23,30,33,35,7,10,192846712,0,0,42,68767,96554089,2013-04-08
13040,16,17,22,26,35,3,10,205633582,1,10000000,12,482261,98544111,2013-04-10
13041,3,13,14,15,34,5,8,198017788,3,6640933,81,29727,108882630,2013-04-13
13042,2,6,22,23,33,1,6,200479790,2,9154000,28,182193,98411504,2013-04-15
13043,7,13,25,34,35,7,9,192316919,2,6632735,30,96754,100358246,2013-04-17
13044,7,11,13,18,28,5,10,192471304,2,8372919,29,176096,108144031,2013-04-20
13045,8,11,12,21,25,2,7,186295531,3,7189671,41,107688,98754178,2013-04-22
13046,15,16,19,25,32,5,11,207466383,0,0,28,175327,98130483,2013-04-24
13047,12,20,28,30,35,3,11,228283036,0,0,25,182602,108924465,2013-04-27
13048,10,11,23,32,33,1,4,180774662,7,5505453,43,76089,93439302,2013-04-29
13049,18,22,25,31,32,4,6,185855837,1,10000000,38,88974,90270660,2013-05-01
13050,14,22,30,32,33,7,8,183101262,2,7415141,56,50952,108845242,2013-05-04
13051,5,8,15,18,33,7,8,189058365,1,10000000,46,95987,101017433,2013-05-06
13052,1,2,10,29,31,1,10,166304395,6,6034952,52,73925,99005450,2013-05-08
13053,13,31,33,34,35,5,7,123304395,8,5000000,231,12000,107125902,2013-05-11
13054,5,8,21,30,32,1,8,114882950,4,6929758,23,202599,97491675,2013-05-13
13055,4,5,22,23,24,3,9,107162071,3,6903540,35,114786,97894933,2013-05-15
13056,11,22,30,32,35,3,4,106703983,2,8215874,59,81973,106923534,2013-05-18
13057,7,15,27,33,35,7,10,123030080,0,0,22,170063,95419334,2013-05-20
13058,20,21,27,31,35,7,11,125968561,2,9312826,27,187922,97868322,2013-05-22
13059,3,8,11,24,27,7,12,148773878,0,0,42,113884,107444050,2013-05-25
13060,15,25,26,32,35,5,10,116219946,7,5477724,57,37010,97754407,2013-05-27
13061,1,14,18,21,32,5,10,142690976,0,0,18,346026,104825840,2013-05-29
13062,1,5,8,9,12,9,12,133663835,5,7129714,36,184871,123085059,2013-06-01
13063,3,5,11,27,28,5,6,146067573,1,10000000,25,208892,108064818,2013-06-03
13064,21,24,26,28,32,1,3,159171307,1,10000000,21,250446,109225079,2013-06-05
13065,9,28,31,34,35,2,9,164666357,1,10000000,284,14102,123733625,2013-06-08
13066,6,7,13,33,34,2,11,173469085,1,10000000,55,73519,108172336,2013-06-10
13067,2,3,5,8,29,10,12,168117873,3,7144174,17,214417,105168115,2013-06-12
13068,10,17,27,34,35,5,7,151050094,5,6057629,73,41475,123220775,2013-06-15
13069,6,12,13,16,30,7,12,165804899,1,10000000,41,130460,112197585,2013-06-17
13070,9,12,18,21,29,1,8,172138704,1,10000000,75,58389,113538678,2013-06-19
13071,13,19,26,27,28,3,11,170320645,3,7929319,77,61669,129186697,2013-06-22
13072,12,27,28,33,35,3,5,131224965,7,5560590,159,18887,115290338,2013-06-24
13073,3,5,23,27,31,2,6,124925587,3,7333431,34,165827,116689022,2013-06-26
13074,6,14,20,24,32,1,7,112228527,3,6569851,63,63912,124113767,2013-06-29
13075,1,11,13,19,35,7,8,111311262,2,8098136,28,169939,111388586,2013-07-01
13076,13,15,16,26,27,9,10,106302568,3,7405796,34,153561,110287003,2013-07-03
13077,24,26,30,32,35,6,12,103028044,3,7605661,61,75745,121705850,2013-07-06
13078,2,7,23,31,33,2,8,104883662,2,8951872,29,150547,110464206,2013-07-08
13079,9,10,17,21,34,1,7,106225828,2,8780721,81,52183,111146788,2013-07-10
13080,6,21,23,27,31,4,6,132673164,0,0,27,221780,121739755,2013-07-13
13081,7,9,15,17,23,2,7,150300415,1,10000000,34,209297,115556938,2013-07-15
13082,3,9,25,26,33,3,12,171994313,0,0,30,155511,112633760,2013-07-17
13083,26,29,30,32,35,4,10,86994313,14,5000000,345,12000,123762556,2013-07-20
13084,8,22,26,29,35,1,5,105974540,0,0,31,139049,109893917,2013-07-22
13085,8,19,23,27,32,3,5,98643241,3,6975684,65,62063,109057485,2013-07-24
13086,9,16,26,29,31,6,9,28968747,16,5000000,83,38878,118005920,2013-07-27
13087,9,12,22,32,34,2,4,42617129,1,5000000,23,212239,102329273,2013-07-29
13088,3,5,8,33,35,1,3,0,37,1150769,197,12000,101099585,2013-07-31
13089,6,7,23,24,29,4,11,2846241,3,5000000,39,103008,103107680,2013-08-03
13090,2,26,30,31,33,11,12,5263955,2,5000000,39,74580,93663331,2013-08-05
13091,4,9,28,34,35,2,8,0,7,723495,130,12000,94094638,2013-08-07
13092,7,10,21,27,33,3,9,0,4,2958913,64,45478,100655848,2013-08-10
13093,1,5,17,18,26,5,7,0,6,1211256,59,36407,91058614,2013-08-12
13094,3,28,33,34,35,6,9,0,10,24000,271,12000,89359971,2013-08-14
13095,3,17,28,30,33,1,10,642661,3,5000000,24,141883,85079922,2013-08-17
13096,17,19,20,22,26,6,8,19111160,0,0,24,182404,82602563,2013-08-19
13097,7,8,13,17,32,3,8,28216869,1,5000000,16,265204,87209004,2013-08-21
13098,2,6,16,29,34,10,11,35352220,2,5000000,52,72072,96508845,2013-08-24
13099,4,11,28,30,33,5,12,12009973,4,5000000,73,12000,90552001,2013-08-26
13100,9,12,24,26,30,5,9,6402825,3,5000000,39,96355,91302467,2013-08-28
13101,4,9,13,15,32,2,9,14743158,2,5000000,22,251803,99608666,2013-08-31
13102,6,12,15,19,26,2,11,36350423,0,0,21,223330,90509576,2013-09-02
13103,5,8,13,16,31,3,9,37443844,3,5000000,59,63673,94510010,2013-09-04
13104,2,5,11,27,29,1,11,61624635,0,0,29,197797,103746815,2013-09-07
13105,7,13,27,30,34,1,12,73054761,1,5000000,33,112342,95015234,2013-09-09
13106,6,7,12,13,27,3,12,88399110,1,5000000,40,121097,96682691,2013-09-11
13107,7,13,14,18,25,5,12,111070403,0,0,26,204245,103336022,2013-09-14
13108,5,10,13,15,18,2,11,134193271,0,0,22,272836,98043296,2013-09-16
13109,13,20,26,29,32,2,6,145869127,1,10000000,24,218948,99337442,2013-09-18
13110,7,16,18,32,33,2,7,149035335,2,9388735,28,175199,110067240,2013-09-21
13111,7,12,13,20,27,1,3,151209447,1,9239212,81,47398,102613684,2013-09-23
13112,2,10,20,22,29,5,12,164634801,1,10000000,25,218418,102958306,2013-09-25
13113,19,21,23,28,30,8,12,154688007,4,6675534,161,24961,114354307,2013-09-28
13114,6,17,21,23,33,1,9,135253881,6,6173985,511,12000,101049414,2013-09-30
13115,5,16,29,32,34,4,11,87253881,9,5000000,166,12000,90887232,2013-10-02
13116,13,22,23,30,33,9,11,97540922,1,5000000,45,97922,106157155,2013-10-05
13117,5,16,23,25,33,7,12,112954194,1,5000000,22,198669,94444889,2013-10-07
13118,4,6,11,20,31,1,5,124989788,1,10000000,30,168855,102403342,2013-10-09
13119,1,2,16,23,35,1,11,144276439,1,10000000,32,199228,114833494,2013-10-12
13120,6,14,15,22,26,3,11,167252806,0,0,13,413988,103379902,2013-10-14
13121,3,18,19,20,24,3,12,167954219,2,8513182,26,209983,107502799,2013-10-16
13122,15,17,20,24,35,4,12,183742526,1,10000000,19,312585,114607447,2013-10-19
13123,2,9,10,33,34,5,12,201386997,0,0,28,129263,106562135,2013-10-21
13124,5,7,18,21,32,10,11,207891533,1,10000000,43,81806,110782997,2013-10-23
13125,4,8,14,23,28,4,8,178104632,6,5787443,64,57509,119978991,2013-10-26
13126,9,10,15,18,30,3,6,172845865,3,7164717,39,92509,109378334,2013-10-28
13127,3,14,16,19,32,5,10,165583037,3,6988364,42,103291,110020727,2013-10-30
13128,11,13,27,33,35,1,2,113183371,10,5214305,150,12000,120450087,2013-11-02
13129,11,23,29,30,33,1,4,103338276,3,6770618,56,76983,108505512,2013-11-04
13130,8,9,15,19,30,6,9,95469948,3,6876234,51,75049,109732548,2013-11-06
13131,12,15,29,30,31,4,12,116854488,0,0,54,96982,117449499,2013-11-09
13132,23,26,28,31,34,2,10,105675073,4,6470096,57,60497,106761393,2013-11-11
13133,2,8,10,16,17,9,12,122965280,1,10000000,17,363869,109127259,2013-11-13
13134,2,13,19,23,32,2,9,148480349,0,0,38,163558,117471260,2013-11-16
13135,4,13,19,25,26,7,12,171612098,0,0,32,148280,107973516,2013-11-18
13136,5,11,15,25,28,5,11,154167079,4,6096792,53,56919,111309765,2013-11-20
13137,4,12,32,33,34,6,8,152139878,2,7657598,79,35223,122455002,2013-11-23
13138,3,8,13,17,24,7,9,81149879,14,5091780,303,12000,109150434,2013-11-25
13139,5,6,18,20,31,6,7,82963265,3,5000000,33,163536,108440465,2013-11-27
13140,1,12,17,26,28,1,6,91556766,4,5000000,49,141727,116980853,2013-11-30
13141,5,15,18,25,31,8,10,111701804,0,0,44,115776,107596104,2013-12-02
13142,6,11,25,28,29,4,12,115535221,1,9930590,50,82434,111067962,2013-12-04
13143,3,8,14,21,31,6,8,118184260,2,9012573,41,139102,121306535,2013-12-07
13144,3,20,21,23,35,2,8,128088241,1,10000000,14,437197,110147338,2013-12-09
13145,2,13,15,18,20,2,11,153157780,0,0,29,217052,110223270,2013-12-11
13146,6,7,15,25,31,1,9,168244721,1,10000000,48,117365,120844765,2013-12-14
13147,3,9,22,24,25,5,9,171377233,2,9377504,23,214583,106840083,2013-12-16
13148,2,5,9,29,32,3,7,177610569,1,10000000,26,132788,110251832,2013-12-18
13149,6,7,8,9,13,5,7,180873480,2,9420969,37,143073,121299463,2013-12-21
13150,6,7,14,18,22,8,11,195421794,1,10000000,19,282164,110252541,2013-12-23
13151,2,13,21,27,30,3,4,218469468,0,0,33,144273,115202750,2013-12-25
13152,9,12,14,18,19,3,9,208662004,5,7025670,26,232835,129948961,2013-12-28
13153,4,5,16,17,30,3,9,235568607,0,0,35,180278,120218297,2013-12-30
14001,5,13,20,23,29,8,11,245814203,1,10000000,51,92763,120984608,2014-01-01
14002,1,12,21,24,29,1,7,265231194,1,10000000,49,126117,134448795,2014-01-04
14003,7,11,13,21,33,5,6,262749156,2,7696913,41,110773,121231014,2014-01-06
14004,7,10,19,27,28,9,12,259377488,2,7468802,60,65432,121043337,2014-01-08
14005,15,17,18,29,33,4,8,251264064,4,6981095,38,125187,132360353,2014-01-11
14006,1,4,7,16,35,6,8,279505469,0,0,29,186411,119059472,2014-01-13
14007,8,11,14,21,32,3,11,263085157,5,6378533,99,47129,123439275,2014-01-15
14008,11,13,20,28,35,1,5,282150599,1,10000000,29,242212,137668320,2014-01-18
14009,10,18,25,29,33,7,8,277824746,2,7224139,125,26297,123676782,2014-01-20
14010,5,10,20,26,27,1,3,289164215,2,10000000,42,167815,126731854,2014-01-22
14011,4,6,14,24,35,7,12,305399026,1,10000000,26,273756,138131180,2014-01-25
14012,9,20,21,23,29,5,7,308985857,1,9827845,64,74203,126548654,2014-01-27
14013,10,11,13,22,28,4,12,324041671,1,10000000,91,61637,137312298,2014-01-29
14014,1,9,11,27,29,3,11,325125162,2,8694497,42,102624,130439909,2014-02-08
14015,4,6,18,20,30,5,7,336487176,1,10000000,40,130654,118668684,2014-02-10
14016,4,6,13,24,34,4,9,312409622,8,6326869,21,302420,123079546,2014-02-12
14017,5,10,11,23,34,1,10,295873500,5,6712143,31,206428,136657269,2014-02-15
14018,8,9,12,28,34,2,12,317846981,0,0,41,126284,121704224,2014-02-17
14019,7,12,22,29,32,11,12,316455971,2,7976663,70,62013,127761746,2014-02-19
14020,1,14,17,30,35,6,7,322855712,2,10000000,37,161466,142178440,2014-02-22
14021,6,10,17,23,24,3,9,309059701,4,6564613,39,108915,128569953,2014-02-24
14022,3,6,10,16,25,10,11,325669431,1,10000000,29,209938,130079120,2014-02-26
14023,4,13,15,29,33,5,9,306189144,4,5835860,105,25417,141829576,2014-03-01
14024,7,11,15,31,32,6,11,297992483,4,7145411,32,178784,129953991,2014-03-03
14025,19,20,27,32,34,6,8,292317488,3,7282407,49,97469,128550281,2014-03-05
14026,5,10,12,15,26,4,8,318035173,0,0,91,63618,139988871,2014-03-08
14027,9,10,24,28,29,10,12,313884979,3,7411068,49,89630,129519796,2014-03-10
14028,3,10,20,25,30,10,12,323066741,1,10000000,38,156895,129511240,2014-03-12
14029,3,21,22,23,35,5,9,302523173,6,6258224,87,51836,143829382,2014-03-15
14030,3,14,18,29,35,11,12,299990119,3,7931261,20,356849,128331774,2014-03-17
14031,6,15,27,32,33,3,4,298257838,2,7755906,151,20925,124711221,2014-03-19
14032,2,5,6,9,31,2,9,313118209,1,10000000,41,141051,139487493,2014-03-22
14033,1,7,8,28,29,4,8,313921770,2,8601186,121,30583,126213215,2014-03-24
14034,3,11,14,27,32,5,7,294040655,6,6124320,143,23326,126684339,2014-03-26
14035,9,12,14,28,29,3,10,291041522,3,7777938,71,87265,138292718,2014-03-29
14036,1,2,12,17,29,3,8,293099517,3,8790665,33,177965,124665987,2014-03-31
14037,3,4,8,19,34,2,4,294858966,2,8784473,45,128622,124476686,2014-04-02
14038,7,8,12,20,32,3,5,290675013,3,7558526,46,105870,130841888,2014-04-05
14039,2,5,11,15,20,8,11,316737418,0,0,32,177295,122285750,2014-04-07
14040,12,15,21,30,33,2,8,320311147,2,9249673,29,230190,127871621,2014-04-09
14041,5,7,11,15,18,5,12,325477040,2,9657920,37,185177,139292056,2014-04-12
14042,16,21,25,27,35,6,11,319726297,4,7374876,33,181982,126547122,2014-04-14
14043,1,11,23,29,30,1,12,347321907,0,0,57,100530,126802014,2014-04-16
14044,22,23,25,27,35,3,11,358093528,2,10000000,45,164774,136866302,2014-04-19
14045,6,10,12,16,30,2,11,376989546,1,10000000,33,194585,124470129,2014-04-21
14046,3,15,18,21,26,1,6,387964150,1,10000000,22,310052,127230354,2014-04-23
14047,6,17,18,30,34,6,12,404566567,1,10000000,54,149381,139568509,2014-04-26
14048,1,2,5,15,35,1,11,410032886,2,9734953,24,297364,132476146,2014-04-28
14049,3,15,17,22,31,3,5,427750617,1,10000000,34,187598,129357113,2014-04-30
14050,10,18,27,28,35,1,6,449771795,1,10000000,24,302800,143454855,2014-05-03
14051,1,7,11,29,30,3,11,426593556,6,6187200,62,78927,141385481,2014-05-05
14052,14,19,21,24,30,2,7,448239242,1,10000000,25,244998,148553518,2014-05-07
14053,2,11,17,27,30,3,4,465963587,2,10000000,56,138015,163362645,2014-05-10
14054,2,3,20,25,34,1,12,479762955,2,10000000,72,126347,150534284,2014-05-12
14055,4,23,26,27,35,10,11,497660787,1,10000000,75,75399,151250601,2014-05-14
14056,12,18,28,29,35,7,8,518055775,1,10000000,61,97524,170156653,2014-05-17
14057,8,10,20,27,33,1,9,513584094,4,8164774,40,160094,158049101,2014-05-19
14058,9,15,22,24,26,2,7,514062616,3,9033010,63,106443,156588831,2014-05-21
14059,7,15,17,25,29,4,11,499050363,6,7141398,89,71247,172487834,2014-05-24
14060,12,22,29,30,34,5,11,508335617,2,10000000,50,140672,155476267,2014-05-26
14061,4,11,17,20,29,6,10,530528894,1,10000000,48,127498,157379650,2014-05-28
14062,4,7,17,24,25,2,4,576508734,0,0,48,197762,171910477,2014-05-31
14063,11,17,21,23,34,3,4,603289864,1,10000000,28,279350,149422759,2014-06-02
14064,8,15,33,34,35,1,8,605400258,3,9481293,168,36266,175438349,2014-06-04
14065,7,12,19,31,33,7,12,593113888,5,7371542,54,129775,189856995,2014-06-07
14066,8,14,16,20,31,3,11,609851883,2,10000000,34,199482,171159701,2014-06-09
14067,3,18,23,24,31,3,7,642565242,1,10000000,27,341706,169829052,2014-06-11
14068,5,15,24,29,35,5,6,648506595,3,10000000,91,79136,183812242,2014-06-14
14069,16,22,27,29,31,2,9,658384418,2,10000000,26,228365,165688178,2014-06-16
14070,1,2,7,10,32,4,12,669821040,2,10000000,57,119758,167714687,2014-06-18
14071,4,14,15,22,23,1,7,696804568,1,10000000,43,221374,185954083,2014-06-21
14072,17,19,22,24,30,2,9,727466021,1,10000000,27,331930,168821103,2014-06-23
14073,4,5,7,13,35,5,6,729295547,3,9270829,121,54235,179054580,2014-06-25
14074,6,11,22,27,30,5,11,750501664,2,10000000,104,81061,198134948,2014-06-28
14075,5,7,29,32,35,4,10,729191341,7,6725435,55,118422,179024552,2014-06-30
